"title","price","stock"
"Sharp Objects","£47.82","In stock"
"In a Dark, Dark ...","£19.63","In stock"
"The Past Never Ends","£56.50","In stock"
"A Murder in Time","£16.64","In stock"
"The Murder of Roger ...","£44.10","In stock"
"The Last Mile (Amos ...","£54.21","In stock"
"That Darkness (Gardiner and ...","£13.92","In stock"
"Tastes Like Fear (DI ...","£10.69","In stock"
"A Time of Torment ...","£48.35","In stock"
"A Study in Scarlet ...","£16.73","In stock"
"Poisonous (Max Revere Novels ...","£26.80","In stock"
"Murder at the 42nd ...","£54.36","In stock"
"Most Wanted","£35.28","In stock"
"Hide Away (Eve Duncan ...","£11.84","In stock"
"Boar Island (Anna Pigeon ...","£59.48","In stock"
"The Widow","£27.26","In stock"
"Playing with Fire","£13.71","In stock"
"What Happened on Beale ...","£25.37","In stock"
"The Bachelor Girl's Guide ...","£52.30","In stock"
"Delivering the Truth (Quaker ...","£20.89","In stock"